Detector Name,Detection Time,Descriptor Name,Description Time,Number of matches
FAST,1.20507ms,BRIEF,1.28454ms,102
FAST,1.30502ms,BRIEF,2.03326ms,95
FAST,1.03089ms,BRIEF,1.17231ms,99
FAST,1.36166ms,BRIEF,1.57764ms,113
FAST,1.07926ms,BRIEF,0.93245ms,108
FAST,1.05497ms,BRIEF,4.46984ms,92
,,,
FAST,1.50279ms,ORB,2.12522ms,
FAST,1.38844ms,ORB,1.71665ms,118
FAST,0.950378ms,ORB,1.38301ms,124
FAST,1.06477ms,ORB,1.28074ms,116
FAST,1.05685ms,ORB,1.18727ms,126
FAST,1.32304ms,ORB,1.26911ms,107
FAST,1.0918ms,ORB,1.25663ms,123
FAST,1.25952ms,ORB,1.24064ms,123
FAST,1.05418ms,ORB,1.2988ms,123
FAST,1.0035ms,ORB,1.60305ms,120
,,,
FAST,1.52996ms,FREAK,58.9779ms,
FAST,1.58582ms,FREAK,64.5929ms,98
FAST,1.05793ms,FREAK,59.6158ms,100
FAST,0.954644ms,FREAK,68.521ms,92
FAST,1.32581ms,FREAK,61.397ms,98
FAST,1.37462ms,FREAK,57.2163ms,86
FAST,1.39753ms,FREAK,57.1616ms,100
FAST,1.35085ms,FREAK,59.6432ms,104
FAST,1.50561ms,FREAK,59.3601ms,101
FAST,1.39516ms,FREAK,53.1326ms,105
,,,
FAST,2.06336ms,SIFT,45.601ms,
FAST,1.4508ms,SIFT,48.601ms,118
FAST,0.945036ms,SIFT,48.2253ms,122
FAST,1.44579ms,SIFT,38.1373ms,114
FAST,2.09475ms,SIFT,42.9642ms,120
FAST,1.162ms,SIFT,46.2307ms,115
FAST,1.31555ms,SIFT,42.1017ms,119
FAST,1.36757ms,SIFT,45.3636ms,124
FAST,1.2965ms,SIFT,96.4621ms,118
FAST,1.36296ms,SIFT,66.6647ms,104
,,,
BRISK,48.8728ms,BRISK,4.22063ms,
BRISK,45.5873ms,BRISK,3.24792ms,168
BRISK,49.0695ms,BRISK,3.21502ms,169
BRISK,43.5568ms,BRISK,3.71494ms,157
BRISK,44.2237ms,BRISK,3.49377ms,170
BRISK,44.1492ms,BRISK,3.87715ms,171
BRISK,44.9223ms,BRISK,4.3409ms,186
BRISK,42.8097ms,BRISK,3.32817ms,174
BRISK,43.3548ms,BRISK,3.18633ms,168
BRISK,43.4236ms,BRISK,3.08825ms,182
BRISK,47.8582ms,BRIEF,3.23204ms,
BRISK,44.3009ms,BRIEF,1.48825ms,136
BRISK,48.2222ms,BRIEF,1.44094ms,160
BRISK,43.7781ms,BRIEF,1.3416ms,129
BRISK,45.6525ms,BRIEF,1.9009ms,140
BRISK,43.9416ms,BRIEF,1.35602ms,147
BRISK,44.056ms,BRIEF,1.47079ms,153
BRISK,43.2542ms,BRIEF,1.38574ms,157
BRISK,43.3269ms,BRIEF,1.30631ms,157
BRISK,44.0038ms,BRIEF,1.2358ms,145
BRISK,48.1634ms,ORB,8.7766ms,
BRISK,45.1143ms,ORB,7.04854ms,155
BRISK,46.1027ms,ORB,7.10298ms,167
BRISK,43.5475ms,ORB,7.32029ms,155
BRISK,43.8267ms,ORB,6.96861ms,161
BRISK,44.0429ms,ORB,7.40615ms,156
BRISK,44.4649ms,ORB,7.05548ms,181
BRISK,42.765ms,ORB,6.97085ms,165
BRISK,44.4255ms,ORB,6.85056ms,170
BRISK,43.7528ms,ORB,6.95387ms,170
BRISK,48.8684ms,FREAK,58.7633ms,
BRISK,46.9501ms,FREAK,64.46ms,154
BRISK,46.336ms,FREAK,56.3953ms,173
BRISK,44.7489ms,FREAK,56.3276ms,153
BRISK,45.2961ms,FREAK,54.383ms,168
BRISK,44.6028ms,FREAK,54.1098ms,158
BRISK,44.5339ms,FREAK,53.901ms,181
BRISK,41.7474ms,FREAK,52.8378ms,169
BRISK,43.1094ms,FREAK,52.4544ms,175
BRISK,43.356ms,FREAK,54.2366ms,165
BRISK,46.5343ms,SIFT,88.4463ms,
BRISK,44.7078ms,SIFT,75.533ms,177
BRISK,44.3753ms,SIFT,75.1711ms,187
BRISK,43.9238ms,SIFT,77.7999ms,171
BRISK,43.5139ms,SIFT,79.4014ms,177
BRISK,45.2717ms,SIFT,75.1526ms,168
BRISK,44.3859ms,SIFT,79.535ms,190
BRISK,44.9843ms,SIFT,77.0646ms,193
BRISK,43.373ms,SIFT,75.9066ms,173
BRISK,43.5579ms,SIFT,72.8106ms,181
,,,
ORB,33.8535ms,BRISK,2.18296ms,
ORB,14.9611ms,BRISK,1.50598ms,73
ORB,15.9392ms,BRISK,1.37947ms,74
ORB,14.5716ms,BRISK,1.57054ms,79
ORB,11.5137ms,BRISK,1.47466ms,85
ORB,19.6633ms,BRISK,1.66615ms,79
